"circleX","circleY","clickX","clickY","dimensions__width","dimensions__height","timeTaken","displacement","radius"
"867","294","850","264","80","80","0.567","303.29523570277195","40"
"643","719","607","697","65","65","1.009","480.417526741063","32.5"
"112","287","102","274","34","34","0.825","684.5326873130311","17"
"209","339","134","276","104","104","0.7","110.05907504608605","52"
"336","718","287","632","103","103","0.736","399.71239660535923","51.5"
"340","196","310","174","82","82","0.629","522.0153254455275","41"
"858","77","829","66","53","53","0.64","531.4931796363901","26.5"
"990","522","971","469","117","117","0.605","464.16484140873916","58.5"
"408","740","389","687","55","55","0.554","621.4885356947464","27.5"
"578","227","518","164","104","104","0.621","540.4340847874049","52"
"721","733","701","688","67","67","0.702","525.8184097195533","33.5"
"954","463","943","451","23","23","0.583","356.6356684348889","11.5"
"688","698","645","645","113","113","0.551","354.9380227589036","56.5"
"250","698","189","663","87","87","0.572","438","43.5"
"432","592","418","564","32","32","0.967","732.8628793983223","16"
"465","690","409","645","101","101","0.552","103.40696301506973","50.5"
"826","734","811","704","51","51","0.712","363.67155511532656","25.5"
"100","264","89","255","23","23","0.895","864.8560573875864","11.5"
"1021","91","1005","77","29","29","0.883","937.1072510657465","14.5"
"268","687","208","638","106","106","0.729","960.3254656625534","53"
"932","722","892","672","76","76","0.627","664.9217999133432","38"
"48","211","38","201","21","21","0.897","1021.0665991990924","10.5"
"608","685","542","612","116","116","0.682","733.672951661706","58"
"584","93","564","68","54","54","0.662","592.4862867611367","27"
"740","705","711","648","69","69","0.801","631.5694736131568","34.5"
"471","583","424","518","86","86","0.523","295.3726459914662","43"
"1308","458","1244","392","84","84","0.67","846.2824587571221","42"
"661","318","588","250","118","118","0.504","661.9735644268584","59"
"689","532","634","502","74","74","0.54","215.82400237230334","37"
"368","224","288","160","92","92","0.656","444.86514810670434","46"
"734","491","697","463","55","55","0.613","453.0397333567995","27.5"
"178","418","132","377","69","69","0.603","560.7717895900256","34.5"
"762","355","734","324","48","48","0.638","587.3882872512867","24"
"967","654","945","625","89","89","0.63","362.52724035581105","44.5"
"399","158","360","96","82","82","1.603","429.1444978093043","41"
"637","368","581","325","93","93","1.028","317.40195336512977","46.5"
"448","148","401","114","59","59","0.647","290.0362046365936","29.5"
"246","247","200","194","78","78","0.594","224.95555116511352","39"
"1296","181","1232","130","89","89","0.757","1052.0722408656165","44.5"
"1130","416","1101","381","93","93","0.805","287.7168747223562","46.5"
"264","578","254","558","26","26","0.793","881.0221336606703","13"
"885","516","839","487","59","59","0.704","624.0873336320807","29.5"
"1190","680","1180","644","94","94","0.679","346.29611606253974","47"
"1019","385","994","366","30","30","0.718","340.9780051557578","15"
"233","301","201","283","51","51","1.454","790.4758060813753","25.5"
"738","441","674","402","82","82","0.639","524.0467536394058","41"
"658","685","591","629","97","97","0.714","256.78006153126455","48.5"
"557","196","541","181","25","25","1.318","499.3215396916099","12.5"
"1116","696","1084","672","58","58","1.517","749.9873332263686","29"
"436","417","405","401","37","37","0.709","735.0108842731514","18.5"
"469","560","426","534","50","50","0.725","146.75830470538966","25"
"185","268","127","215","103","103","1.383","407.33278777923096","51.5"
"255","611","233","589","73","73","0.83","350.06999300139967","36.5"
"795","349","726","320","76","76","0.643","600.2032988913006","38"
"1147","233","1131","195","63","63","1.015","1170.4264180203727","31.5"
"434","739","424","724","36","36","0.949","874.3025792024177","18"
"1324","415","1318","390","34","34","1.021","947.1409609978865","17"
